Presto	Data Mgt	query engine	1.0	TRIAL			2017-07-03	NIL --> TRIAL	YES	YES	YES	YES	YES	YES																
Apache Camel	Techniques; Frameworks & Tools	enterprise integration framework	0.9	TRIAL			see 2nd Release																							
Camunda BPMN Engine	Techniques; Frameworks & Tools	workflow engine	0.8	TRIAL			see 2nd Release																							
AspectJ	Techniques; Frameworks & Tools	Aspect Oriented Language (JVM)	0.7	TRIAL			see 2nd Release																							
AWS DynamoDB	Data Mgt	NoSql DB	0.5	TRIAL			2017-02-13	ASSESS --> TRIAL	YES	YES	YES					YES		YES					YES							
Undertow	Platforms & Infrastructure	webserver	0.4	TRIAL			see 2nd Release																							
Hadoop/HDFS	Data Mgt	distributed storage	0.3	TRIAL			see 2nd Release																							
Google BigQuery	Data Mgt	NoSql DB	0.3	TRIAL			see 2nd Release																							
Flink	Data Mgt	event processing	0.1	TRIAL			see 2nd Release																							
Zookeeper	Platforms & Infrastructure	distributed computing	0.1	TRIAL			see 2nd Release																							
Ember.js	Techniques; Frameworks & Tools	JS framework	-0.2	ASSESS			2017-01-16	NIL --> ASSESS			YES	YES				YES								YES						
gRPC	Techniques; Frameworks & Tools	RPC framework	-0.2	ASSESS			2016-10-24	NIL --> ASSESS			YES						YES		YES						YES	ABSTAIN				
Http4s	Techniques; Frameworks & Tools	Scala HTTP framework	-0.2	ASSESS			2017-04-10	NIL --> ASSESS		YES	YES	YES	YES					YES	ABSTAIN					YES			YES			
AWS Kinesis	Data Mgt	event processing	-0.3	ASSESS			see 2nd Release																							
Hadoop/YARN	Data Mgt	cluster resource manager	-0.4	ASSESS			see 2nd Release																							
R	Languages	impl. language	-0.4	ASSESS			see 2nd Release																							
Consul	Platforms & Infrastructure	distributed computing	-0.5	ASSESS			see 2nd Release																							
Akka-Http	Techniques; Frameworks & Tools	Scala HTTP framework	-0.5	ASSESS			2017-04-10	NIL --> ASSESS		YES	YES	YES	YES					YES	YES					YES			YES			
Haskell	Languages	impl. language	-0.5	ASSESS			2017-07-03	HOLD --> ASSESS	ABSTAIN	YES	YES	YES	YES	YES																
Elm	Languages		-0.7	ASSESS			see 2nd Release																							
Flux	Techniques; Frameworks & Tools	JS methodology for usage with React	-0.7	ASSESS			see 2nd Release																							
AWS Lambda	Platforms & Infrastructure	computing service	-0.8	ASSESS			see 2nd Release																							
Vert.x	Techniques; Frameworks & Tools	async communication framework	-0.8	ASSESS			see 2nd Release																							
Google BigTable	Data Mgt	NoSql DB	-0.8	ASSESS			see 2nd Release																							
Play (Java)	Techniques; Frameworks & Tools		-0.9	ASSESS			see 2nd Release																							
Kotlin	Languages	language on the JVM	-0.9	ASSESS			see 2nd Release																							
Rust	Languages	impl. language	-0.9	ASSESS			see 2nd Release																							
Hadoop/MR	Data Mgt	data processing frw	-1.0	ASSESS			see 2nd Release																							
Aurelia	Techniques; Frameworks & Tools	JS framework	-1.0	ASSESS			2016-08-29	NIL --> ASSESS			YES	YES						YES	YES				YES							
RabbitMQ	Data Mgt	message queues	-1.1	HOLD			see 2nd Release																							
InfluxDB	Data Mgt	TS DB	-1.1	HOLD			see 2nd Release																							
Neo4j	Data Mgt	Graph DB	-1.1	HOLD			see 2nd Release																							
Grizzly	Platforms & Infrastructure	webserver	-1.1	HOLD			see 2nd Release																							
Riak	Data Mgt	NoSql DB	-1.2	HOLD			see 2nd Release																							
Hadoop/HBase	Data Mgt	NoSql DB	-1.2	HOLD			see 2nd Release																							
CouchBase	Data Mgt	NoSql DB	-1.3	HOLD			see 2nd Release																							
HornetQueue	Data Mgt	message queues	-1.4	HOLD			see 2nd Release																							
BackboneJS	Techniques; Frameworks & Tools	JS framework	-1.4	HOLD			see 2nd Release																							
Erlang	Languages	impl. language	-1.4	HOLD			see 2nd Release																							
Aerospike	Data Mgt	NoSql DB/caching	-1.5	HOLD			see 2nd Release																							
Apache Artemis	Data Mgt	message queues	-1.5	HOLD			see 2nd Release																							
C/C++	Languages	impl. language	-1.5	HOLD			see 2nd Release																							
Coffeescript	Languages	impl. language	-1.5	HOLD			see 2nd Release																							
Mesos	Platforms & Infrastructure	resource manager	-1.5	HOLD			2017-02-13	ASSESS --> HOLD	YES	YES	YES	YES							YES				YES							
Spray	Techniques; Frameworks & Tools		-1.5	HOLD			2017-04-10	ASSESS --> HOLD		YES	YES	YES	YES					YES	YES					YES			YES			
MySQL	Data Mgt	RDBMS	-1.5	HOLD			see 2nd Release																							
Esper CEP	Data Mgt	Complex Event Processor	-1.6	HOLD			see 2nd Release																							
Graphite	Data Mgt	TS DB	-1.6	HOLD			see 2nd Release																							
Groovy	Languages	impl. language	-1.6	HOLD			see 2nd Release																							
saltstack	Platforms & Infrastructure	infrastructure management	-1.7	HOLD			see 2nd Release																							
Jython	Languages	impl. language	-1.7	HOLD			see 2nd Release																							
Activiti	Techniques; Frameworks & Tools	workflow engine	-1.8	HOLD			see 2nd Release																							
MongoDB	Data Mgt	NoSql DB	-1.8	HOLD			2016-06-06	HOLD --> ASSESS				ABSTAIN				ABSTAIN		ABSTAIN	ABSTAIN	ABSTAIN	ABSTAIN		ABSTAIN							ABSTAIN
PHP	Languages		-1.8	HOLD			see 2nd Release																							
Drools	Techniques; Frameworks & Tools	business rule engine	-1.8	HOLD			see 2nd Release																							
Oracle DB	Data Mgt	RDBMS	-1.8	HOLD			see 2nd Release																							
JBoss	Platforms & Infrastructure	Application Server	-1.8	HOLD			see 2nd Release																							
Perl	Languages	impl. language	-1.9	HOLD			see 2nd Release																							
ActiveMQ	Data Mgt	message queues	-1.9	HOLD			see 2nd Release																							
JRuby	Languages	impl. language	-1.9	HOLD			see 2nd Release																							
Ruby	Languages	impl. language	-1.9	HOLD			see 2nd Release																							
MemCached	Data Mgt	caching	-2.0	HOLD			2016-09-26	ADOPT --> HOLD			YES	YES				YES			YES			YES								
.NET / languages	Languages	.NET software appl platform including .NET based programming languages like C#, F#	-2.0	HOLD			see 2nd Release																							
Puppet	Platforms & Infrastructure	config mgt	-2.0	HOLD			see 2nd Release																							
AngularJS 1.x	Techniques; Frameworks & Tools	JS framework	-2.0	HOLD			2016-07-04	ASSESS --> HOLD			YES					YES		YES			YES		YES							
																														
	ADOPT	35																												
	TRIAL	17																												
	ASSESS	19																												
	HOLD	36																												
	NIL	0																												
		107																												
																														
	Data Mgt	38																												
	Languages	23																												
	Platforms & Infrastructure	19																												
	Techniques; Frameworks & Tools	27																												
		107																												
